Opportunity ID,Opportunity Name,Store Address,Store City,Store State,Store Zip,DD Deep Link
0063i0000075JaH,Saskatoon - Greenville (SC),681 Halton Road,Greenville,SC,29607,https://www.doordash.com/store/995061/?utm_source=partner-link&utm_medium=website&utm_campaign=995061
0063i0000079nA5,Rachel's Kitchen - Las Vegas (Trailwood Dr),"9691 Trailwood Dr, #105",Las Vegas,NV,89134,https://www.doordash.com/store/1008012/?utm_source=partner-link&utm_medium=website&utm_campaign=1008012
0063i000007A1tD,Pokeworks (Mongolian Hot Pot) - San Diego (Clairemont Mesa Blvd),4718 Clairemont Mesa Blvd,San Diego,CA,92117,https://www.doordash.com/store/wow-bao-san-diego-1025484/
0063i00000BDOAx,REEF Kitchens - Austin (AUS13),1805 Airport Blvd,Austin,TX,78072,https://www.doordash.com/store/wow-bao-austin-1127247/en-US
0063i000007CRO5,The Midtowner - Hattiesburg (MS),3000 Hardy St,Hattiesburg,MS,39401,https://www.doordash.com/store/wow-bao-hattiesburg-1044374/en-US?utm_campaign=1044374&utm_medium=website&utm_source=partner-link
0063i000005bdDb,REEF Kitchens - Miami (MIA07),12884 SW 87th Ave,Miami,FL,33176,https://doordash.com/store/1127228/?utm_campaign=1127228&utm_medium=website&utm_source=partner-link
0063i000007Acu0,REEF Kitchens - Nashville (NSH02),607 14th Ave N,Nashville,TN,37203,https://doordash.com/store/1127234/?utm_campaign=1127234&utm_medium=website&utm_source=partner-link
0063i000007At3j,REEF Kitchens - Houston (HOU14),1140 Rothwell St,Houston,TX,77002,https://doordash.com/store/1127225/?utm_campaign=1127225&utm_medium=website&utm_source=partner-link
0063i000007BQ5g,Sizzler - Nampa (ID),501 Caldwell Blvd,Nampa,ID,83651,https://www.doordash.com/en-CA/store/wow-bao-nampa-1099046
0063i000007B98F,REEF Kitchens - Minneapolis (MIN12),217 W Broadway Ave,Minneapolis,MN,55411,https://doordash.com/store/1127268/?utm_campaign=1127268&utm_medium=website&utm_source=partner-link
0063i000007BDu4,Ruby Tuesday - Clinton Crossing (MD),8881 Branch Avenue,Clinton,MD,20735,https://www.doordash.com/store/wow-bao-clinton-1085929/
0063i000007ActR,REEF Kitchens - Los Angeles (LAX04),11411 Chandler Blvd,North Hollywood,CA,91601,https://doordash.com/store/1127264/?utm_campaign=1127264&utm_medium=website&utm_source=partner-link
0063i000007BCUn,Fuel Pizza - K Street (Washington DC),1606 K Street NW,Washington,DC,20006,https://www.doordash.com/store/1207484/?utm_source=partner-link&utm_medium=website&utm_campaign=1207484
0063i000007B97W,REEF Kitchens - Los Angeles (LAX03),719 E. 9th Street,Los Angeles,CA,90021,https://doordash.com/store/1127237/?utm_campaign=1127237&utm_medium=website&utm_source=partner-link
0063i00000DvK9N,REEF Kitchens - Roswell (ATL51),1575 Old Alabama Road,Roswell,GA,30076,https://www.doordash.com/store/wow-bao-roswell-1751545/
0063i0000079iUs,REEF Kitchens - Minneapolis (MIN02),429 Wabasha St S,Saint Paul,MN,55107,https://doordash.com/store/1127267/?utm_campaign=1127267&utm_medium=website&utm_source=partner-link
0063i0000079iOD,REEF Kitchens - Miami (MIA17),15 NE 3rd St,Fort Lauderdale,FL,33301,https://doordash.com/store/1127243/?utm_campaign=1127243&utm_medium=website&utm_source=partner-link
0063i0000079jAK,Sizzling Platter - Twin Falls (ID),719 Blue Lakes Blvd N,Twin Falls,ID,83301,https://www.doordash.com/store/1030308/?utm_source=partner-link&utm_medium=website&utm_campaign=1030308
0063i0000079uPv,Pokeworks (Shabu) - San Diego (Mira Mesa Blvd),9841 Mira Mesa Blvd,San Diego,CA,92131,https://www.doordash.com/store/1025534/?utm_source=partner-link&utm_medium=website&utm_campaign=1025534
0063i000007At3P,REEF Kitchens - Austin (AUS02),9433 Parkfield Dr,Austin,TX,78758,https://doordash.com/store/1127254/?utm_campaign=1127254&utm_medium=website&utm_source=partner-link
0063i000007AHCX,REEF Kitchens - Houston (HOU06),401 W Dallas ST,Houston,TX,77002,https://doordash.com/store/1127251/?utm_campaign=1127251&utm_medium=website&utm_source=partner-link
