Bundle?,Name,Description,ModifierGroup1,ModifierGroup2,ModifierGroup3,ModifierGroup4,ModifierGroup5,ModifierGroup6,ModifierGroup7,ModifierGroup8,ModifierGroup9,ModifierGroup10,ModifierGroup11,ModifierGroup12,ModifierGroup13,ModifierGroup14,ModifierGroup15,ModifierGroup16,ModifierGroup17,ModifierGroup18
0,2 Pack of Bao,Mix-and-match any flavor of bao!,Bao 1st Choice,Bao 2nd Choice,,,,,,,,,,,,,,,,
0,6 Pack of Bao,Mix-and-match any flavor of bao!,Bao 1st Choice,Bao 2nd Choice,Bao 3rd Choice,Bao 4th Choice,Bao 5th Choice,Bao 6th Choice,,,,,,,,,,,,
0,12 Pack of Bao,Mix-and-match any flavor of bao!,Bao 1st Choice,Bao 2nd Choice,Bao 3rd Choice,Bao 4th Choice,Bao 5th Choice,Bao 6th Choice,Bao 7th Choice,Bao 8th Choice,Bao 9th Choice,Bao 10th Choice,Bao 11th Choice,Bao 12th Choice,,,,,,
0,18 Pack of Bao,Mix-and-match any flavor of bao!,Bao 1st Choice,Bao 2nd Choice,Bao 3rd Choice,Bao 4th Choice,Bao 5th Choice,Bao 6th Choice,Bao 7th Choice,Bao 8th Choice,Bao 9th Choice,Bao 10th Choice,Bao 11th Choice,Bao 12th Choice,Bao 13th Choice,Bao 14th Choice,Bao 15th Choice,Bao 16th Choice,Bao 17th Choice,Bao 18th Choice
0,Teriyaki Chicken Bowl,"Roasted chicken that is infused with a rich, dark, and sweet teriyaki barbecue sauce, served on jasmine white rice.",,,,,,,,,,,,,,,,,,
0,Spicy Kung Pao Chicken Bowl,"Tender chicken that is cooked in a sweet and spicy sichuan chili-soy sauce, served on jasmine white rice.",,,,,,,,,,,,,,,,,,
0,Orange Chicken Bowl,"Chicken in a sweet orange sauce with red peppers and candied orange peel, served on jasmine white rice",,,,,,,,,,,,,,,,,,
0,5 Pack Potstickers,Pan-Seared with your choice of filling between Green Vegetable and Ginger Chicken.,Potsticker Option,,,,,,,,,,,,,,,,,
0,8 Pack Potstickers,Pan-Seared with your choice of filling between Green Vegetable and Ginger Chicken.,Potsticker Option,,,,,,,,,,,,,,,,,
0,12 Pack Potstickers,Pan-Seared with your choice of filling between Green Vegetable and Ginger Chicken.,Potsticker Option,,,,,,,,,,,,,,,,,
0,30 Pack Potstickers,Pan-Seared with your choice of filling between Green Vegetable and Ginger Chicken.,Potsticker Option,,,,,,,,,,,,,,,,,
0,5 Pack Dumplings,Steamed with your choice of filling bewteen Green Vegetable and Ginger Chicken.,Dumpling Option,,,,,,,,,,,,,,,,,
0,8 Pack Dumplings,Steamed with your choice of filling bewteen Green Vegetable and Ginger Chicken.,Dumpling Option,,,,,,,,,,,,,,,,,
0,12 Pack Dumplings,Steamed with your choice of filling bewteen Green Vegetable and Ginger Chicken.,Dumpling Option,,,,,,,,,,,,,,,,,
0,30 Pack Dumplings,Steamed with your choice of filling bewteen Green Vegetable and Ginger Chicken.,Dumpling Option,,,,,,,,,,,,,,,,,
0,Bowl and 2 Bao,"A choice of a Teriyaki Chicken, Spicy Kung Pao Chicken, or Orange Chicken bowl, and 2 Teriyaki Chicken, BBQ Berkshire Pork, Spicy Mongolian Beef or Whole Wheat Vegetable bao.",Bao 1st Choice,Bao 2nd Choice,Bowl Option,,,,,,,,,,,,,,,
0,Bowl and 3 Potstickers,"A choice of a Teriyaki Chicken, Spicy Kung Pao Chicken, or Orange Chicken bowl, and 3 Ginger Chicken or Green Vegetable potstickers.",Potsticker Option,Bowl Option,,,,,,,,,,,,,,,,
1,The Sharing Bundle,"A shareable meal for 2-3 people. The Sharing Bundle contains 6 of our fluffy, steamed bao (2 Teriyaki Chicken, 2 BBQ Berkshire Pork, and 2 Spicy Mongolian Beef) and 12 pan-seared Ginger Chicken potstickers.",,,,,,,,,,,,,,,,,,
1,The Family Bundle,"An easy meal for 4-5 people. The Family Bundle is a combination of our fan favorites with 3 BBQ Berkshire Pork bao, 3 Spicy Mongolian Beef bao, 12 pan-seared Ginger Chicken potstickers, and 3 Teriyaki Chicken bowls.",,,,,,,,,,,,,,,,,,
1,The Party Bundle,"Perfect for a larger crowd of 8-12 people. The Party Bundle is 24 of our signature bao (6 each of Teriyaki Chicken, BBQ Berkshire Pork, Spicy Mongolian Beef, and Whole Wheat Vegetable) and 24 pan-seared Ginger Chicken potstickers.",,,,,,,,,,,,,,,,,,
