"Opportunity Name","Store Address","Store City","Store State","Store Zip","Opportunity ID","DD Deep Link","Cheeseburger Bao","Coconut Bao","Egg & Sausage Bao","IMPOSSIBLE Bao","Bundles"
"Fazoli's - Leighway Drive - Richmond (KY)","441 Leighway Dr.","Richmond","KY","40475","0063i000009DymI","https://www.doordash.com/store/wow-bao-richmond-1497637/en-US","Yes","Yes","No","No","Yes"
"Fazoli's - W. Washington - Indianapolis (IN)","5202 W. Washington","Indianapolis","IN","46241","0063i000009DynZ","https://www.doordash.com/store/wow-bao-indianapolis-1496738/en-US","Yes","Yes","No","No","Yes"
"Fazoli's - Walker (MI)","2521 Alpine Ave","Walker","MI","49544","0063i000009Dyvk","https://www.doordash.com/store/1497462/?utm_source=partner-link&utm_medium=website&utm_campaign=1497462","Yes","Yes","No","No","Yes"
"Fired Pie - Ray Road - Phoenix (AZ)","4905 E Ray Road #104","Phoenix","AZ","85044","0063i00000BEGyg","https://www.doordash.com/en-CA/store/wow-bao-gillette-1528773/?utm_campaign=1640672&utm_medium=website&utm_source=partner-link","Yes","","","","No"
"Hotel Indigo - Tuscaloosa (AL)","111 Greensboro Ave.","Tuscaloosa","AL","35401","0063i000007DC9T","https://www.doordash.com/store/1477054/?utm_source=partner-link&utm_medium=website&utm_campaign=1477054","No","","","","No"
"JOES LLC dba Sizzler - Sparks (NV)","615 E. Prater Way","Sparks","NV","89431","0063i000007Cm6t","https://www.doordash.com/en-CA/store/wow-bao-sparks-1209436/","Yes","No","No","No","No"
"JOES LLC dba Sizzler - Tacoma (WA)","10204 S. Tacoma Way","Tacoma","WA","98499","0063i000007Cgli","https://www.doordash.com/en-CA/store/wow-bao-lakewood-1209439","Yes","No","No","No","No"
"Obed & Isaac's Microbrewery and Eatery - Peoria (IL)","321 NE Madison Ave","Peoria","IL","61603","0063i00000BDQyS","https://www.doordash.com/en-CA/store/wow-bao-peoria-1697028","Yes","No","No","No","Yes"
"Rachel's Kitchen - Las Vegas (Trailwood Dr)","9691 Trailwood Dr, #105","Las Vegas","NV","89134","0063i0000079nA5","https://www.doordash.com/store/1008012/?utm_source=partner-link&utm_medium=website&utm_campaign=1008012","No","","","","No"
"Sizzler - Chatsworth (CA)","20557 Devonshire Street","Chatsworth","CA","91311","0063i000009DzfK","https://www.doordash.com/store/1461919/?utm_source=partner-link&utm_medium=website&utm_campaign=1461919","No","No","No","No","No"
"Sizzler - Fountain Valley (CA)","9480 Warner Ave","Fountain Valley","CA","92708","0063i000009EEYV","https://www.doordash.com/en-CA/store/wow-bao-fountain-valley-1465731","No","No","No","No","Yes"
"Sizzler - Van Nuys (CA)","7131 Van Nuys Blvd","Van Nuys","CA","91405","0063i000009CuYG","https://www.doordash.com/store/1333321/?utm_source=partner-link&utm_medium=website&utm_campaign=1333321","No","No","No","No","No"
"Sizzler - West Covina (CA)","1100 West Covina Parkway","West Covina","CA","91790","0063i000009Ec0U","https://www.doordash.com/en-CA/store/wow-bao-west-covina-1486525","No","No","No","No","No"
"Sizzling Platter - Pocatello (ID)","1000 Pocatello Creek Rd","Pocatello","ID","83201","0063i000007BRBc","https://www.doordash.com/store/1091528/?utm_source=partner-link&utm_medium=website&utm_campaign=1091528","Yes","Yes","No","No","Yes"
"Thai Topaz - San Antonio (TX)","2177 NW Military Hwy","San Antonio","TX","78213","0063i000009E1Q7","https://www.doordash.com/store/1485876/?utm_source=partner-link&utm_medium=website&utm_campaign=1485876","Yes","","","","No"
